
=== Training Session Started for FP16_Baseline at 2026-06-08 16:52:14 ===
[FP16_Baseline] [Epoch 084/100] Loss: 0.11755 | Time/Epoch: 12.3s | ETA: 3 mins
[FP16_Baseline] [Epoch 085/100] Loss: 0.11056 | Time/Epoch: 12.2s | ETA: 3 mins
[FP16_Baseline] [Epoch 086/100] Loss: 0.11188 | Time/Epoch: 12.4s | ETA: 2 mins
[FP16_Baseline] [Epoch 087/100] Loss: 0.11161 | Time/Epoch: 12.3s | ETA: 2 mins
[FP16_Baseline] [Epoch 088/100] Loss: 0.10919 | Time/Epoch: 12.2s | ETA: 2 mins
[FP16_Baseline] [Epoch 089/100] Loss: 0.11199 | Time/Epoch: 12.2s | ETA: 2 mins
[FP16_Baseline] [Epoch 090/100] Loss: 0.11315 | Time/Epoch: 12.3s | ETA: 2 mins
[FP16_Baseline] [Epoch 091/100] Loss: 0.11716 | Time/Epoch: 12.7s | ETA: 1 mins
[FP16_Baseline] [Epoch 092/100] Loss: 0.10933 | Time/Epoch: 12.4s | ETA: 1 mins
[FP16_Baseline] [Epoch 093/100] Loss: 0.10652 | Time/Epoch: 12.5s | ETA: 1 mins
[FP16_Baseline] [Epoch 094/100] Loss: 0.10533 | Time/Epoch: 12.4s | ETA: 1 mins
[FP16_Baseline] [Epoch 095/100] Loss: 0.10511 | Time/Epoch: 12.5s | ETA: 1 mins
[FP16_Baseline] [Epoch 096/100] Loss: 0.10684 | Time/Epoch: 12.4s | ETA: 49s
[FP16_Baseline] [Epoch 097/100] Loss: 0.10465 | Time/Epoch: 12.5s | ETA: 37s
[FP16_Baseline] [Epoch 098/100] Loss: 0.10830 | Time/Epoch: 12.3s | ETA: 24s
[FP16_Baseline] [Epoch 099/100] Loss: 0.10420 | Time/Epoch: 12.2s | ETA: 12s
[FP16_Baseline] [Epoch 100/100] Loss: 0.10419 | Time/Epoch: 12.4s | ETA: 0s

=== Training Session Started for W1A16_Native at 2026-06-08 17:10:44 ===
[W1A16_Native] [Epoch 001/100] Loss: 0.18209 | Time/Epoch: 12.5s | ETA: 20 mins
[W1A16_Native] [Epoch 002/100] Loss: 0.09893 | Time/Epoch: 12.3s | ETA: 20 mins
[W1A16_Native] [Epoch 003/100] Loss: 0.09631 | Time/Epoch: 12.7s | ETA: 20 mins
[W1A16_Native] [Epoch 004/100] Loss: 0.09161 | Time/Epoch: 12.0s | ETA: 19 mins
[W1A16_Native] [Epoch 005/100] Loss: 0.08997 | Time/Epoch: 11.4s | ETA: 19 mins
[W1A16_Native] [Epoch 006/100] Loss: 0.08468 | Time/Epoch: 12.6s | ETA: 19 mins
[W1A16_Native] [Epoch 007/100] Loss: 0.08022 | Time/Epoch: 12.4s | ETA: 18 mins
[W1A16_Native] [Epoch 008/100] Loss: 0.07844 | Time/Epoch: 12.3s | ETA: 18 mins
[W1A16_Native] [Epoch 009/100] Loss: 0.07927 | Time/Epoch: 12.1s | ETA: 18 mins
[W1A16_Native] [Epoch 010/100] Loss: 0.07621 | Time/Epoch: 12.4s | ETA: 18 mins
[W1A16_Native] [Epoch 011/100] Loss: 0.07627 | Time/Epoch: 12.4s | ETA: 18 mins
[W1A16_Native] [Epoch 012/100] Loss: 0.07309 | Time/Epoch: 12.2s | ETA: 18 mins
[W1A16_Native] [Epoch 013/100] Loss: 0.07370 | Time/Epoch: 12.3s | ETA: 17 mins
[W1A16_Native] [Epoch 014/100] Loss: 0.07289 | Time/Epoch: 12.3s | ETA: 17 mins
[W1A16_Native] [Epoch 015/100] Loss: 0.07038 | Time/Epoch: 12.9s | ETA: 17 mins
[W1A16_Native] [Epoch 016/100] Loss: 0.07338 | Time/Epoch: 12.4s | ETA: 17 mins
[W1A16_Native] [Epoch 017/100] Loss: 0.07333 | Time/Epoch: 12.7s | ETA: 17 mins
[W1A16_Native] [Epoch 018/100] Loss: 0.06981 | Time/Epoch: 12.3s | ETA: 17 mins
[W1A16_Native] [Epoch 019/100] Loss: 0.07080 | Time/Epoch: 12.6s | ETA: 16 mins
[W1A16_Native] [Epoch 020/100] Loss: 0.07086 | Time/Epoch: 12.3s | ETA: 16 mins
[W1A16_Native] [Epoch 021/100] Loss: 0.07017 | Time/Epoch: 12.3s | ETA: 16 mins
[W1A16_Native] [Epoch 022/100] Loss: 0.06907 | Time/Epoch: 12.1s | ETA: 16 mins
[W1A16_Native] [Epoch 023/100] Loss: 0.07097 | Time/Epoch: 12.3s | ETA: 15 mins
[W1A16_Native] [Epoch 024/100] Loss: 0.06866 | Time/Epoch: 12.5s | ETA: 15 mins
[W1A16_Native] [Epoch 025/100] Loss: 0.06871 | Time/Epoch: 12.4s | ETA: 15 mins
[W1A16_Native] [Epoch 026/100] Loss: 0.06777 | Time/Epoch: 12.4s | ETA: 15 mins
[W1A16_Native] [Epoch 027/100] Loss: 0.06642 | Time/Epoch: 12.4s | ETA: 15 mins
